city,state_id,state_name,population,density
New York,NY,New York,18713220,10715
Los Angeles,CA,California,12750807,3276
Chicago,IL,Illinois,8604203,4574
Miami,FL,Florida,6445545,5019
Dallas,TX,Texas,5743938,1526
Philadelphia,PA,Pennsylvania,5649300,4554
Houston,TX,Texas,5464251,1399
Atlanta,GA,Georgia,5449398,1441
Washington,DC,District of Columbia,5379184,4457
Boston,MA,Massachusetts,4688346,5532
Phoenix,AZ,Arizona,4219697,1253
Seattle,WA,Washington,3789215,3469
San Francisco,CA,California,3592294,7256
Detroit,MI,Michigan,3506126,1864
San Diego,CA,California,3220118,1686
Minneapolis,MN,Minnesota,2977172,3071
Tampa,FL,Florida,2908063,1353
Denver,CO,Colorado,2876625,1831
Brooklyn,NY,New York,2559903,14221
Queens,NY,New York,2230722,7885
Riverside,CA,California,2107852,1574
Baltimore,MD,Maryland,2106068,2830
Las Vegas,NV,Nevada,2104198,1773
Portland,OR,Oregon,2074775,1894
San Antonio,TX,Texas,2049293,1231
St. Louis,MO,Missouri,2024074,1879
Sacramento,CA,California,1898019,2029
Orlando,FL,Florida,1822394,1003
San Jose,CA,California,1798103,2218
Cleveland,OH,Ohio,1710093,1893
Pittsburgh,PA,Pennsylvania,1703266,2093
Austin,TX,Texas,1687311,1181
Cincinnati,OH,Ohio,1662691,1507
Kansas City,MO,Missouri,1636715,607
Manhattan,NY,New York,1628706,27545
Indianapolis,IN,Indiana,1588961,935
Columbus,OH,Ohio,1562009,1582
Charlotte,NC,North Carolina,1512923,1113
Virginia Beach,VA,Virginia,1478868,709
Bronx,NY,New York,1418207,12862
Milwaukee,WI,Wisconsin,1365787,2369
Providence,RI,Rhode Island,1203230,3773
Jacksonville,FL,Florida,1181496,470
Salt Lake City,UT,Utah,1098526,699
Nashville,TN,Tennessee,1081903,544
Richmond,VA,Virginia,1075798,1484
Memphis,TN,Tennessee,1066967,792
Raleigh,NC,North Carolina,1038738,1254
New Orleans,LA,Louisiana,1020886,889
Louisville,KY,Kentucky,1005654,905
Oklahoma City,OK,Oklahoma,972943,417
Bridgeport,CT,Connecticut,924449,3470
Buffalo,NY,New York,914341,2441
Fort Worth,TX,Texas,909585,1016
Hartford,CT,Connecticut,905152,2712
Tucson,AZ,Arizona,888486,889
Omaha,NE,Nebraska,847819,1309
El Paso,TX,Texas,843386,1022
Honolulu,HI,Hawaii,820987,2200
McAllen,TX,Texas,804114,841
Albuquerque,NM,New Mexico,761195,1155
Birmingham,AL,Alabama,739573,553
Sarasota,FL,Florida,722243,1528
Dayton,OH,Ohio,718353,978
Rochester,NY,New York,703952,2220
Fresno,CA,California,703498,1789
Allentown,PA,Pennsylvania,683794,2672
Tulsa,OK,Oklahoma,671033,784
Cape Coral,FL,Florida,668382,708
Concord,CA,California,652308,1633
Colorado Springs,CO,Colorado,642413,946
Charleston,SC,South Carolina,628377,480
Springfield,MA,Massachusetts,623401,1860
Grand Rapids,MI,Michigan,609314,1734
Mission Viejo,CA,California,590249,2058
Albany,NY,New York,586383,1740
Knoxville,TN,Tennessee,586048,733
Bakersfield,CA,California,579295,990
Ogden,UT,Utah,578523,1230
Baton Rouge,LA,Louisiana,570308,983
Akron,OH,Ohio,565208,1231
New Haven,CT,Connecticut,564830,2690
Columbia,SC,South Carolina,560041,373
Mesa,AZ,Arizona,518012,1448
Palm Bay,FL,Florida,507002,456
Provo,UT,Utah,500617,1080
Worcester,MA,Massachusetts,498328,1916
Murrieta,CA,California,496046,1335
Greenville,SC,South Carolina,484465,920
Wichita,KS,Kansas,482249,931
Toledo,OH,Ohio,482111,1308
Staten Island,NY,New York,476143,3156
Des Moines,IA,Iowa,473957,938
Long Beach,CA,California,462628,3523
Port St. Lucie,FL,Florida,461152,653
Denton,TX,Texas,457177,567
Madison,WI,Wisconsin,447245,1263
Reno,NV,Nevada,445020,907
Harrisburg,PA,Pennsylvania,442289,2343
Little Rock,AR,Arkansas,439815,634
Oakland,CA,California,433031,2991
Durham,NC,North Carolina,424700,959
Winston-Salem,NC,North Carolina,422269,721
Bonita Springs,FL,Florida,421291,600
Indio,CA,California,417059,1066
Palm Coast,FL,Florida,417007,364
Chattanooga,TN,Tennessee,415501,493
Spokane,WA,Washington,412275,1247
Syracuse,NY,New York,404223,2195
Lancaster,PA,Pennsylvania,401524,3166
Arlington,TX,Texas,398854,1607
Stockton,CA,California,397264,1941
Poughkeepsie,NY,New York,394760,2290
Augusta,GA,Georgia,390809,252
Boise,ID,Idaho,389280,1056
Oxnard,CA,California,387647,3040
Scranton,PA,Pennsylvania,384250,1169
Modesto,CA,California,383134,1933
Kissimmee,FL,Florida,382720,1349
Aurora,CO,Colorado,379289,949
Youngstown,OH,Ohio,378732,744
Fayetteville,AR,Arkansas,351246,625
Anaheim,CA,California,350365,2688
Pensacola,FL,Florida,346921,903
Victorville,CA,California,346789,641
Lancaster,CA,California,343304,645
Greensboro,NC,North Carolina,343090,887
Corpus Christi,TX,Texas,342464,789
Fort Wayne,IN,Indiana,334122,943
Santa Ana,CA,California,332318,4689
Flint,MI,Michigan,332190,1103
Fayetteville,NC,North Carolina,327435,552
Jackson,MS,Mississippi,325350,558
Santa Rosa,CA,California,324634,1605
Lansing,MI,Michigan,324286,1164
San Juan,PR,Puerto Rico,323279,3157
Lexington,KY,Kentucky,323152,439
Ann Arbor,MI,Michigan,322267,1659
Henderson,NV,Nevada,320189,1165
Huntsville,AL,Alabama,319249,361
Mobile,AL,Alabama,315502,522
Fort Collins,CO,Colorado,312666,1149
Asheville,NC,North Carolina,312507,786
Santa Clarita,CA,California,312446,1162
St. Paul,MN,Minnesota,308096,2288
Antioch,CA,California,302419,1466
Lakeland,FL,Florida,302284,654
Trenton,NJ,New Jersey,290716,4238
Lincoln,NE,Nebraska,289490,1160
Springfield,MO,Missouri,288090,786
Anchorage,AK,Alaska,288000,65
Plano,TX,Texas,287677,1549
Irvine,CA,California,287401,1691
Davenport,IA,Iowa,285362,617
Rockford,IL,Illinois,282762,873
Newark,NJ,New Jersey,282011,4509
South Bend,IN,Indiana,280498,938
Shreveport,LA,Louisiana,280062,672
Round Lake Beach,IL,Illinois,279381,2073
Savannah,GA,Georgia,276295,536
Myrtle Beach,SC,South Carolina,275579,568
Chula Vista,CA,California,274492,2134
Eugene,OR,Oregon,273439,1510
Canton,OH,Ohio,269418,1040
Lubbock,TX,Texas,267648,741
Reading,PA,Pennsylvania,267155,3466
Winter Haven,FL,Florida,267069,538
Salem,OR,Oregon,266804,1382
St. Petersburg,FL,Florida,265351,1656
Lafayette,LA,Louisiana,264357,877
Laredo,TX,Texas,262491,958
Jersey City,NJ,New Jersey,262075,6863
Concord,NC,North Carolina,261801,585
Columbus,GA,Georgia,261445,349
Chandler,AZ,Arizona,261165,1548
McKinney,TX,Texas,258277,1148
Scottsdale,AZ,Arizona,258069,541
Killeen,TX,Texas,258009,1073
Tallahassee,FL,Florida,257601,747
Peoria,IL,Illinois,256286,888
Wilmington,NC,North Carolina,255616,929
Montgomery,AL,Alabama,254634,479
Gilbert,AZ,Arizona,254114,1432
Glendale,AZ,Arizona,252381,1582
North Las Vegas,NV,Nevada,251974,992
Chesapeake,VA,Virginia,244835,279
Barnstable,MA,Massachusetts,242847,286
Norfolk,VA,Virginia,242742,1759
Fremont,CA,California,241110,1201
Kennewick,WA,Washington,240735,1186
Garland,TX,Texas,239928,1623
Irving,TX,Texas,239798,1380
Visalia,CA,California,237386,1370
Atlantic City,NJ,New Jersey,237054,1354
Paradise,NV,Nevada,235087,1942
Nashua,NH,New Hampshire,233917,1118
Arlington,VA,Virginia,233464,3467
Hialeah,FL,Florida,233339,4174
York,PA,Pennsylvania,233184,3204
Evansville,IN,Indiana,230427,962
Avondale,AZ,Arizona,227289,750
Brownsville,TX,Texas,227239,533
Gulfport,MS,Mississippi,220987,497
Appleton,WI,Wisconsin,220570,1156
Bremerton,WA,Washington,218400,561
Hickory,NC,North Carolina,218323,536
Tacoma,WA,Washington,217827,1690
San Bernardino,CA,California,215784,1341
College Station,TX,Texas,215243,890
Kalamazoo,MI,Michigan,215193,1192
Thousand Oaks,CA,California,215029,885
Roanoke,VA,Virginia,214674,900
Fontana,CA,California,214547,1923
Moreno Valley,CA,California,213055,1604
North Port,FL,Florida,209070,274
Fargo,ND,North Dakota,208675,967
Green Bay,WI,Wisconsin,207557,887
Spring Valley,NV,Nevada,207127,2404
Amarillo,TX,Texas,205603,756
Portland,ME,Maine,203969,1185
Santa Barbara,CA,California,202401,1808
Gainesville,FL,Florida,202335,820
Olympia,WA,Washington,200915,1119
Frisco,TX,Texas,200490,1136
Yonkers,NY,New York,200370,4295
Norwich,CT,Connecticut,200289,533
Glendale,CA,California,199303,2525
Huntington Beach,CA,California,199223,2848
Deltona,FL,Florida,198361,960
Aurora,IL,Illinois,197757,1696
Tempe,AZ,Arizona,195805,1891
Overland Park,KS,Kansas,195494,1003
Grand Prairie,TX,Texas,194543,1039
Sunrise Manor,NV,Nevada,193781,2241
Waco,TX,Texas,192315,605
Salinas,CA,California,190972,2562
Waterbury,CT,Connecticut,189614,1456
Clarksville,TN,Tennessee,188746,618
Cedar Rapids,IA,Iowa,188038,720
Sioux Falls,SD,South Dakota,187239,907
Huntington,WV,West Virginia,186034,1073
Ontario,CA,California,185010,1429
Hagerstown,MD,Maryland,184755,1272
Erie,PA,Pennsylvania,184484,1926
Vancouver,WA,Washington,184463,1461
Nampa,ID,Idaho,184428,1167
Spartanburg,SC,South Carolina,182701,730
Gastonia,NC,North Carolina,182581,577
Fort Lauderdale,FL,Florida,182437,2036
Lorain,OH,Ohio,180279,1041
Murfreesboro,TN,Tennessee,179951,919
High Point,NC,North Carolina,179913,777
Newport News,VA,Virginia,179225,1002
Rancho Cucamonga,CA,California,177603,1709
Hemet,CA,California,177253,1125
Santa Cruz,CA,California,176428,1957
Danbury,CT,Connecticut,176030,779
Peoria,AZ,Arizona,175961,386
Oceanside,CA,California,175742,1644
Elk Grove,CA,California,174775,1605
Pembroke Pines,FL,Florida,173591,2051
Vallejo,CA,California,173256,1524
Garden Grove,CA,California,171644,3690
Enterprise,NV,Nevada,171108,1292
Medford,OR,Oregon,170876,1243
Cary,NC,North Carolina,170282,1119
Marysville,WA,Washington,170009,1308
Corona,CA,California,169868,1640
Ocala,FL,Florida,169383,496
Fredericksburg,VA,Virginia,168909,1072
Gainesville,GA,Georgia,167371,506
Manchester,NH,New Hampshire,162877,1315
Bayamón,PR,Puerto Rico,161034,2304
Champaign,IL,Illinois,159443,1503
Alexandria,VA,Virginia,159428,4121
Hayward,CA,California,159203,1349
Springfield,IL,Illinois,158509,723
Lakewood,CO,Colorado,157935,1416
Lafayette,IN,Indiana,157820,942
Frederick,MD,Maryland,156787,1172
Lake Charles,LA,Louisiana,156181,674
Odessa,TX,Texas,155998,1052
Tuscaloosa,AL,Alabama,155499,631
Warner Robins,GA,Georgia,155140,805
Palmdale,CA,California,155079,564
Hollywood,FL,Florida,154817,2192
Midland,TX,Texas,154793,758
Leesburg,FL,Florida,154574,249
Port Arthur,TX,Texas,154468,272
Muskegon,MI,Michigan,153565,998
Macon,GA,Georgia,153159,237
Kansas City,KS,Kansas,152960,473
Sunnyvale,CA,California,152703,2676
Pomona,CA,California,151691,2548
Escondido,CA,California,151625,1568
Pasadena,TX,Texas,151227,1339
New Bedford,MA,Massachusetts,149910,1840
Fairfield,CA,California,148683,1097
Naperville,IL,Illinois,148449,1476
Bellevue,WA,Washington,148164,1709
Binghamton,NY,New York,148145,1635
Elkhart,IN,Indiana,147567,734
Topeka,KS,Kansas,147458,787
Joliet,IL,Illinois,147344,886
Beaumont,TX,Texas,146091,547
Paterson,NJ,New Jersey,145233,6665
Merced,CA,California,145149,1390
Pueblo,CO,Colorado,143932,789
Tyler,TX,Texas,143796,718
Torrance,CA,California,143592,2701
Yuma,AZ,Arizona,142847,313
Metairie,LA,Louisiana,142135,2359
Surprise,AZ,Arizona,141664,506
Columbia,MO,Missouri,141645,725
Athens,GA,Georgia,141532,421
Roseville,CA,California,141500,1239
Thornton,CO,Colorado,141464,1521
Miramar,FL,Florida,141191,1889
Pasadena,CA,California,141029,2371
Mesquite,TX,Texas,140937,1151
Olathe,KS,Kansas,140545,880
Santa Maria,CA,California,140545,1815
Houma,LA,Louisiana,140469,874
Carrollton,TX,Texas,139248,1466
Grand Junction,CO,Colorado,139143,621
Charleston,WV,West Virginia,138706,570
Orange,CA,California,138669,2086
Fullerton,CA,California,138632,2386
Greeley,CO,Colorado,137810,858
Carolina,PR,Puerto Rico,136771,2550
Las Cruces,NM,New Mexico,136254,519
Panama City,FL,Florida,136133,382
Harlingen,TX,Texas,136037,626
West Valley City,UT,Utah,135248,1472
Hampton,VA,Virginia,134510,1009
Warren,MI,Michigan,133943,1505
Mauldin,SC,South Carolina,133872,899
Bloomington,IL,Illinois,133846,1100
Coral Springs,FL,Florida,133759,2258
Round Rock,TX,Texas,133372,1421
Yakima,WA,Washington,133191,1300
Sterling Heights,MI,Michigan,132438,1403
Kent,WA,Washington,132319,1513
Burlington,NC,North Carolina,131043,707
Bellingham,WA,Washington,130641,1287
Santa Clara,CA,California,130365,2761
Racine,WI,Wisconsin,130142,1915
Greenville,NC,North Carolina,130118,1012
Stamford,CT,Connecticut,129638,1330
Elizabeth,NJ,New Jersey,129216,4049
Johnson City,TN,Tennessee,127571,599
Lynchburg,VA,Virginia,126814,647
Simi Valley,CA,California,126589,1167
Fort Smith,AR,Arkansas,125354,536
Kenosha,WI,Wisconsin,124972,1378
Norman,OK,Oklahoma,124880,269
South Lyon,MI,Michigan,124694,1219
Boulder,CO,Colorado,124345,1551
Abilene,TX,Texas,123420,446
Lehigh Acres,FL,Florida,123378,514
Pearland,TX,Texas,122460,981
Berkeley,CA,California,121363,4473
Richardson,TX,Texas,121323,1639
Redding,CA,California,121313,599
Arvada,CO,Colorado,121272,1207
East Los Angeles,CA,California,121187,6282
St. George,UT,Utah,120899,449
Billings,MT,Montana,120728,948
Yuba City,CA,California,120456,1736
Rochester,MN,Minnesota,119942,831
Leominster,MA,Massachusetts,119690,558
Kingsport,TN,Tennessee,119666,397
Duluth,MN,Minnesota,119476,461
Rock Hill,SC,South Carolina,119105,750
Gilroy,CA,California,118993,1378
Cambridge,MA,Massachusetts,118927,7182
Sugar Land,TX,Texas,118488,1130
Texas City,TX,Texas,118169,300
Iowa City,IA,Iowa,118041,1133
Saginaw,MI,Michigan,117958,1087
Chico,CA,California,117668,1191
Dover,DE,Delaware,117282,622
Clearwater,FL,Florida,116946,1731
Coeur d'Alene,ID,Idaho,116834,1260
Seaside,CA,California,116720,1410
Independence,MO,Missouri,116672,577
West Jordan,UT,Utah,116480,1391
Brandon,FL,Florida,115911,1350
Bloomington,IN,Indiana,115884,1424
El Monte,CA,California,115487,4663
North Charleston,SC,South Carolina,115382,574
Carlsbad,CA,California,115382,1180
St. Cloud,MN,Minnesota,115028,660
Temecula,CA,California,114761,1188
Clovis,CA,California,114584,1741
Meridian,ID,Idaho,114161,1297
The Woodlands,TX,Texas,113819,1017
Ponce,PR,Puerto Rico,113401,1426
Westminster,CO,Colorado,113166,1383
Costa Mesa,CA,California,113003,2762
Monroe,LA,Louisiana,112891,623
Utica,NY,New York,112650,1376
Pompano Beach,FL,Florida,112118,1802
West Palm Beach,FL,Florida,111955,803
Waterloo,IA,Iowa,111631,423
Everett,WA,Washington,111475,1296
El Centro,CA,California,111425,1478
Santa Fe,NM,New Mexico,111269,625
Downey,CA,California,111126,3457
Spring Hill,FL,Florida,111076,716
Lowell,MA,Massachusetts,110997,3149
Centennial,CO,Colorado,110937,1448
Elgin,IL,Illinois,110849,1141
Richmond,CA,California,110567,1420
Broken Arrow,OK,Oklahoma,110198,688
Miami Gardens,FL,Florida,110001,2329
Bend,OR,Oregon,109802,1171
Burlington,VT,Vermont,109763,1604
Jurupa Valley,CA,California,109527,984
Sandy Springs,GA,Georgia,109452,1122
Gresham,OR,Oregon,109381,1808
Lewisville,TX,Texas,109212,1148
Hillsboro,OR,Oregon,109128,1640
Ventura,CA,California,109106,1925
Jacksonville,NC,North Carolina,108856,574
Pottstown,PA,Pennsylvania,108758,1798
Inglewood,CA,California,108151,4604
League City,TX,Texas,107536,809
Eau Claire,WI,Wisconsin,107404,812
Turlock,CA,California,107317,1679
Temple,TX,Texas,107258,429
Sioux City,IA,Iowa,106455,545
Salisbury,MD,Maryland,106447,927
Davie,FL,Florida,106306,1175
Daly City,CA,California,106280,5370
Highlands Ranch,CO,Colorado,105631,1680
Allen,TX,Texas,105623,1544
West Covina,CA,California,105101,2529
Sparks,NV,Nevada,105006,1131
Wichita Falls,TX,Texas,104683,561
San Mateo,CA,California,104430,3312
Columbia,MD,Maryland,103991,1257
Norwalk,CA,California,103949,4133
Rialto,CA,California,103526,1665
Manteca,CA,California,103420,1498
Arden-Arcade,CA,California,102864,2235
El Cajon,CA,California,102708,2732
Burbank,CA,California,102511,2285
Longmont,CO,Colorado,102474,1306
Renton,WA,Washington,101751,1676
Vista,CA,California,101638,2093
Logan,UT,Utah,101616,1126
Prescott Valley,AZ,Arizona,101539,439
Vacaville,CA,California,101444,1330
Edinburg,TX,Texas,101170,873
Carmel,IN,Indiana,101068,795
Spokane Valley,WA,Washington,101060,1034
San Angelo,TX,Texas,101004,653
La Crosse,WI,Wisconsin,100693,911
Idaho Falls,ID,Idaho,100442,1011
Holland,MI,Michigan,100432,768
Charlottesville,VA,Virginia,100416,1781
Longview,TX,Texas,100330,565
Tracy,CA,California,100049,1412
Boca Raton,FL,Florida,99805,1320
Lafayette,CO,Colorado,99645,1257
Lee's Summit,MO,Missouri,99357,601
Rio Rancho,NM,New Mexico,99178,370
South Fulton,GA,Georgia,99155,451
Beaverton,OR,Oregon,99037,1952
Lawrence,KS,Kansas,98648,1110
Bismarck,ND,North Dakota,98345,827
Orem,UT,Utah,97828,2044
Middletown,OH,Ohio,97730,720
San Tan Valley,AZ,Arizona,96692,1018
San Marcos,CA,California,96664,1532
Sandy,UT,Utah,96380,1544
Federal Way,WA,Washington,96289,1667
Mandeville,LA,Louisiana,95968,676
Hesperia,CA,California,95750,508
Brockton,MA,Massachusetts,95708,1732
Compton,CA,California,95605,3680
Riverview,FL,Florida,95338,796
Fishers,IN,Indiana,95310,1037
Sunrise,FL,Florida,95166,2270
Bowling Green,KY,Kentucky,95135,690
Roswell,GA,Georgia,94763,898
Menifee,CA,California,94756,787
Plantation,FL,Florida,94580,1685
Dover,NH,New Hampshire,94563,464
Quincy,MA,Massachusetts,94470,2200
Portsmouth,VA,Virginia,94398,1094
Chino,CA,California,94371,1229
Lynn,MA,Massachusetts,94299,3388
Edmond,OK,Oklahoma,94054,428
Hanford,CA,California,94028,1280
Dearborn,MI,Michigan,93932,1496
Livonia,MI,Michigan,93665,1013
South Gate,CA,California,93444,4985
Vineland,NJ,New Jersey,93239,335
Florence,SC,South Carolina,93131,657
Portsmouth,NH,New Hampshire,93069,540
Slidell,LA,Louisiana,93040,695
Lawton,OK,Oklahoma,93025,441
Kirkland,WA,Washington,93010,2016
Missoula,MT,Montana,92895,845
Auburn,AL,Alabama,92777,425
Rapid City,SD,South Dakota,92664,546
Terre Haute,IN,Indiana,92490,677
Suffolk,VA,Virginia,92108,89
Blacksburg,VA,Virginia,91888,865
Mt. Pleasant,SC,South Carolina,91684,717
Carson,CA,California,91394,1883
Conroe,TX,Texas,91079,488
Alafaya,FL,Florida,91068,1156
Livermore,CA,California,90923,1288
Westminster,CA,California,90643,3486
Germantown,MD,Maryland,90582,2053
Santa Monica,CA,California,90401,4147
New Braunfels,TX,Texas,90209,770
Fall River,MA,Massachusetts,89541,1044
Albany,GA,Georgia,89217,505
Miami Beach,FL,Florida,88885,4461
Norwalk,CT,Connecticut,88816,1498
San Leandro,CA,California,88815,2570
O'Fallon,MO,Missouri,88673,1149
Newton,MA,Massachusetts,88414,1914
Muncie,IN,Indiana,87879,958
Citrus Heights,CA,California,87796,2381
State College,PA,Pennsylvania,87723,3572
Town 'n' Country,FL,Florida,87338,1526
Decatur,IL,Illinois,87236,645
Jackson,MI,Michigan,87110,1153
Fort Myers,FL,Florida,87103,844
Goodyear,AZ,Arizona,86840,175
Dalton,GA,Georgia,86628,632
Bryan,TX,Texas,86276,726
Waukegan,IL,Illinois,86075,1370
Hawthorne,CA,California,86068,5463
Anderson,IN,Indiana,85992,508
Redwood City,CA,California,85925,1721
Hoover,AL,Alabama,85768,691
Lake Forest,CA,California,85531,1985
Napa,CA,California,85239,1679
Whittier,CA,California,85098,2242
Clifton,NJ,New Jersey,85052,2913
Largo,FL,Florida,84948,1773
Bloomington,MN,Minnesota,84943,945
Johns Creek,GA,Georgia,84579,1059
Newport Beach,CA,California,84534,1370
Mission,TX,Texas,84331,916
Milpitas,CA,California,84196,2381
Troy,MI,Michigan,84092,970
Madera,CA,California,84086,1557
Joplin,MO,Missouri,84048,515
Chino Hills,CA,California,83853,724
Alhambra,CA,California,83750,4237
Franklin,TN,Tennessee,83097,771
Melbourne,FL,Florida,83029,727
Port Huron,MI,Michigan,82970,1369
Springfield,OH,Ohio,82820,883
Mountain View,CA,California,82739,2664
Zephyrhills,FL,Florida,82476,670
St. Augustine,FL,Florida,82180,629
Flagstaff,AZ,Arizona,81974,438
Buena Park,CA,California,81788,3002
Pleasanton,CA,California,81777,1307
Silver Spring,MD,Maryland,81773,4004
Atascocita,TX,Texas,81557,1320
Westland,MI,Michigan,81511,1540
Auburn,WA,Washington,81464,1063
Cranston,RI,Rhode Island,81456,1109
Somerville,MA,Massachusetts,81360,7619
Folsom,CA,California,81328,1126
Springdale,AR,Arkansas,81125,668
Deerfield Beach,FL,Florida,81066,2093
Warwick,RI,Rhode Island,81004,893
Cicero,IL,Illinois,80796,5318
Farmington Hills,MI,Michigan,80612,935
Newark,OH,Ohio,80451,930
Williamsburg,VA,Virginia,80441,645
Brooklyn Park,MN,Minnesota,80389,1190
Hattiesburg,MS,Mississippi,80138,331
Alexandria,LA,Louisiana,80129,625
Lawrence,MA,Massachusetts,80028,4458
Florence,AL,Alabama,79964,594
Valdosta,GA,Georgia,79820,606
Plymouth,MN,Minnesota,79768,941
Buckeye,AZ,Arizona,79620,78
Georgetown,TX,Texas,79604,560
Cheyenne,WY,Wyoming,79484,771
Cedar Park,TX,Texas,79462,1207
The Villages,FL,Florida,79372,978
Kokomo,IN,Indiana,79351,610
Tustin,CA,California,79348,2755
Lakewood,CA,California,79307,3253
Perris,CA,California,79291,970
St. Joseph,MO,Missouri,79161,656
Flower Mound,TX,Texas,79135,728
Pharr,TX,Texas,79112,1292
Pine Hills,FL,Florida,78995,2500
Alton,IL,Illinois,78905,652
Loveland,CO,Colorado,78877,885
Boynton Beach,FL,Florida,78679,1880
New Rochelle,NY,New York,78557,2930
Anderson,SC,South Carolina,78512,736
Jonesboro,AR,Arkansas,78394,377
Lebanon,PA,Pennsylvania,78302,2397
Parma,OH,Ohio,78103,1506
Layton,UT,Utah,78014,1339
Elizabethtown,KY,Kentucky,78002,437
Texarkana,TX,Texas,77964,482
Alameda,CA,California,77624,2868
Kankakee,IL,Illinois,77429,668
Watsonville,CA,California,77352,3109
Porterville,CA,California,77318,1236
Baytown,TX,Texas,77192,807
Upland,CA,California,77140,1907
Davis,CA,California,76997,2710
Camarillo,CA,California,76931,1371
South Jordan,UT,Utah,76598,1331
Battle Creek,MI,Michigan,76514,463
Bellflower,CA,California,76435,4822
San Marcos,TX,Texas,76218,732
San Ramon,CA,California,75995,1570
Lake Jackson,TX,Texas,75860,532
Bethlehem,PA,Pennsylvania,75815,1531
Wyoming,MI,Michigan,75667,1186
Oshkosh,WI,Wisconsin,75536,958
Hammond,IN,Indiana,75522,1282
Waldorf,MD,Maryland,75489,803
Missouri City,TX,Texas,75457,1003
Pasco,WA,Washington,75432,858
Wheeling,WV,West Virginia,75392,740
Kendall,FL,Florida,75312,1804
Baldwin Park,CA,California,75251,4381
Rancho Cordova,CA,California,75087,827
Conway,AR,Arkansas,74951,567
Gary,IN,Indiana,74879,581
Altoona,PA,Pennsylvania,74829,1710
Lodi,CA,California,74773,1913
Arlington Heights,IL,Illinois,74760,1738
Bolingbrook,IL,Illinois,74545,1169
Rochester Hills,MI,Michigan,74516,877
Winchester,VA,Virginia,74417,1179
Framingham,MA,Massachusetts,74416,1147
Hilton Head Island,SC,South Carolina,74139,372
Centreville,VA,Virginia,74125,2396
Union City,CA,California,74107,1474
Owensboro,KY,Kentucky,74068,1132
Jackson,TN,Tennessee,74065,444
Cleveland,TN,Tennessee,73596,648
Wausau,WI,Wisconsin,73593,774
Camden,NJ,New Jersey,73562,3184
Anniston,AL,Alabama,73501,179
Evanston,IL,Illinois,73473,3646
Apple Valley,CA,California,73453,378
Mansfield,OH,Ohio,73326,583
Caguas,PR,Puerto Rico,73322,2597
Schaumburg,IL,Illinois,72887,1457
Pocatello,ID,Idaho,72878,657
Woodbury,MN,Minnesota,72828,805
Southfield,MI,Michigan,72689,1068
Ellicott City,MD,Maryland,72665,936
Dale City,VA,Virginia,72627,1969
Maple Grove,MN,Minnesota,72622,860
Pittsburg,CA,California,72588,1588
New Britain,CT,Connecticut,72495,2095
Morgantown,WV,West Virginia,72458,1181
Mansfield,TX,Texas,72419,762
Hammond,LA,Louisiana,72413,589
Dothan,AL,Alabama,72396,296
Harrisonburg,VA,Virginia,72386,1180
Wenatchee,WA,Washington,72350,1312
Waukesha,WI,Wisconsin,72299,1093
Pawtucket,RI,Rhode Island,72117,3212
Redmond,WA,Washington,71929,1676
Lauderhill,FL,Florida,71868,3256
Sumter,SC,South Carolina,71518,469
Redlands,CA,California,71513,770
Daphne,AL,Alabama,71484,603
Mount Vernon,WA,Washington,71422,1130
Weston,FL,Florida,71166,1117
St. Charles,MO,Missouri,71028,1104
Janesville,WI,Wisconsin,70755,732
Sherman,TX,Texas,70704,372
North Richland Hills,TX,Texas,70670,1505
Broomfield,CO,Colorado,70465,824
El Paso de Robles,CA,California,70248,632
Bristol,TN,Tennessee,70243,318
Wilmington,DE,Delaware,70166,2484
Casas Adobes,AZ,Arizona,70166,1016
Walnut Creek,CA,California,70166,1371
Poinciana,FL,Florida,69955,375
Lynwood,CA,California,69887,5575
Glen Burnie,MD,Maryland,69872,1557
Lehi,UT,Utah,69724,960
Passaic,NJ,New Jersey,69703,8590
Homestead,FL,Florida,69523,1779
West Bend,WI,Wisconsin,69504,804
Delray Beach,FL,Florida,69451,1685
Sheboygan,WI,Wisconsin,69393,1184
Lake Elsinore,CA,California,69283,699
Daytona Beach,FL,Florida,69186,406
Los Lunas,NM,New Mexico,69020,331
Lima,OH,Ohio,68878,1045
Decatur,AL,Alabama,68867,388
Rocklin,CA,California,68823,1341
Rogers,AR,Arkansas,68669,685
Castle Rock,CO,Colorado,68484,771
Hanover,PA,Pennsylvania,68165,1641
Bossier City,LA,Louisiana,68159,605
Dubuque,IA,Iowa,68109,729
Rockville,MD,Maryland,68079,1933
Victoria,TX,Texas,68078,694
Saratoga Springs,NY,New York,68028,388
Guaynabo,PR,Puerto Rico,68024,2180
Gaithersburg,MD,Maryland,67985,2543
Union City,NJ,New Jersey,67982,20394
Ames,IA,Iowa,67910,935
West Des Moines,IA,Iowa,67899,556
South San Francisco,CA,California,67789,2837
Yorba Linda,CA,California,67644,1316
Casper,WY,Wyoming,67598,843
Palatine,IL,Illinois,67482,1916
Corvallis,OR,Oregon,67467,1592
Ankeny,IA,Iowa,67355,862
Mount Vernon,NY,New York,67345,5930
Rowlett,TX,Texas,67339,1244
Lakeville,MN,Minnesota,67317,715
Alpharetta,GA,Georgia,67213,964
Longview,WA,Washington,67081,1000
DeKalb,IL,Illinois,66959,1025
Petaluma,CA,California,66929,1620
Redondo Beach,CA,California,66749,4158
