State_Name,State_ab,City,ALand,AWater,Median,Stdev
Alabama,AL,Vernon,493059889,850894,14259,58691
Alabama,AL,Sheffield,3244664,760149,11362,28768
Alabama,AL,Florence,1960895,1340,25315,18845
Alabama,AL,Florence,9833989,17892,40925,26949
Alabama,AL,Florence,20641113,107786,57489,39019
Alabama,AL,Florence,216694495,712481,53758,32706
Alabama,AL,Florence,138349445,2374297,49876,45702
Alabama,AL,Gadsden,13659980,699379,22032,33189
Alabama,AL,Killen,74751483,16582673,62159,60426
Alabama,AL,Rogersville,76318747,23100357,39930,53937
Alabama,AL,Town Creek,226969791,1721123,30636,36144
Alabama,AL,Trinity,117628141,989972,35481,47100
Alabama,AL,Mt Hope,361366358,1982766,34122,46748
Alabama,AL,Auburn,8346226,18151,71002,63502
Alabama,AL,Auburn,5768508,35694,23556,36377
Alabama,AL,Auburn,4146900,16399,300000,29855
Alabama,AL,Opelika,47984472,237279,300000,48918
Alabama,AL,Opelika,134283525,589514,300000,43525
Alabama,AL,Gadsden,4308625,1900493,28402,42411
Alabama,AL,Salem,253715367,6829853,51524,41271
Alabama,AL,Smiths Station,13567898,0,29698,47342
Alabama,AL,Athens,82446982,539373,78280,48448
Alabama,AL,Elkmont,171352666,937318,47441,40626
Alabama,AL,Athens,4698718,890,30742,37222
Alabama,AL,Athens,56703711,404012,60539,57881
Alabama,AL,Madison,230411965,33529525,85287,71138
Alabama,AL,Fort Deposit,474381284,2112248,52781,51846
Alabama,AL,Tuskegee Institute,79140905,1016081,36023,42007
Alabama,AL,Shorter,272456881,2681619,35431,36578
Alabama,AL,Glencoe,57350608,1090995,43691,45193
Alabama,AL,Huntsville,3746454,2577,33659,47264
Alabama,AL,Huntsville,1995502,0,30776,26164
Alabama,AL,Huntsville,3164264,897,42104,43712
Alabama,AL,Huntsville,2325387,0,30532,51596
Alabama,AL,Huntsville,20318331,268264,42703,35945
Alabama,AL,Huntsville,10852825,1515,88860,53694
Alabama,AL,Huntsville,3384385,36536,20863,16217
Alabama,AL,Huntsville,2624766,25144,22507,45377
Alabama,AL,Huntsville,4129644,0,300000,46110
Alabama,AL,Huntsville,11668517,520555,75064,48133
Alabama,AL,Fayette,311521457,71975,39117,40468
Alabama,AL,Huntsville,6647466,0,75474,45271
Alabama,AL,New Market,283364358,1322529,63617,40696
Alabama,AL,New Market,71128728,299798,48140,40933
Alabama,AL,Madison,14806799,81262,64911,48878
Alabama,AL,Harvest,12842670,56874,69225,55309
Alabama,AL,Huntsville,62434261,418101,44095,40051
Alabama,AL,Madison,11103274,22474,300000,67906
Alabama,AL,Madison,11334346,60848,56372,67825
Alabama,AL,Owens Cross Roads,161262786,5308265,49914,49851
Alabama,AL,Linden,684444831,3497306,20988,33541
Alabama,AL,Red Bay,191320812,2880300,30452,29147
Alabama,AL,Dixons Mills,286336268,54771,30152,50464
Alabama,AL,Linden,269287258,1993649,35339,37198
Alabama,AL,Hamilton,229517860,71618,32935,57865
Alabama,AL,Guin,149020339,38718,15096,35883
Alabama,AL,Grant,140557578,15033151,38909,44664
Alabama,AL,Union Grove,212312408,11263467,51925,44841
Alabama,AL,Arab,75997846,417494,300000,38954
Alabama,AL,Guntersville,43587610,22086593,36870,49992
Alabama,AL,Albertville,52906932,173258,300000,46009
Alabama,AL,Albertville,47224676,137799,20717,29509
Alabama,AL,Eutaw,602704133,5380156,20746,31024
Alabama,AL,Boaz,28926937,122957,60413,61358
Alabama,AL,Mobile,2106175,28837,16804,25449
Alabama,AL,Mobile,3172855,15917,34201,36346
Alabama,AL,Mobile,1453106,0,32056,45729
Alabama,AL,Mobile,1737737,0,34077,25961
Alabama,AL,Mobile,5320481,984861,30813,36375
Alabama,AL,Mobile,2859688,18331,29059,58102
Alabama,AL,Mobile,2756233,0,68650,47507
Alabama,AL,Mobile,3446291,0,300000,38313
Alabama,AL,Mobile,6167571,30455,54763,42667
Alabama,AL,Abbeville,89705915,139084,25216,39126
Alabama,AL,Mobile,1936934,8343,14533,41837
Alabama,AL,Mobile,3399167,8625,43324,43669
Alabama,AL,Mobile,3942337,22096,300000,78388
Alabama,AL,Mobile,3803117,2011,42972,51439
Alabama,AL,Orange Beach,15491986,20427550,66868,64338
Alabama,AL,Mobile,4796168,0,56165,41770
Alabama,AL,Mobile,1667955,0,20077,20213
Alabama,AL,Whistler,5186346,7066,16243,23567
Alabama,AL,Saraland,4520294,42789,300000,28268
Alabama,AL,Mount Vernon,288291555,6975925,41530,38304
Alabama,AL,Wilmer,119553238,413472,48215,45160
Alabama,AL,Dothan,4123213,0,55836,69018
Alabama,AL,Semmes,29578145,83695,55680,49569
Alabama,AL,Mobile,8957994,72201,92467,69504
Alabama,AL,Grand Bay,154049784,768448,25328,25644
Alabama,AL,Irvington,44929027,78388,39571,34541
Alabama,AL,Mobile,4691292,1574,46383,37861
Alabama,AL,Mobile,47845775,7049110,49255,56525
Alabama,AL,Mobile,14483493,2204002,21104,34577
Alabama,AL,Bayou La Batre,0,780526158,0,0
Alabama,AL,Monroeville,267821013,5094852,48748,51291
Alabama,AL,Uriah,427194441,5527227,22348,28976
Alabama,AL,Dothan,44228758,0,27130,43691
Alabama,AL,Montgomery,5059603,0,33114,22159
Alabama,AL,Montgmomery,1377521,0,51602,39175
Alabama,AL,Montgomery,3561874,6703,11494,10200
Alabama,AL,Montgomery,2354058,0,39275,43379
Alabama,AL,Montgomery,5052075,4085,300000,34528
Alabama,AL,Montgomery,5844507,19635,31912,41835
Alabama,AL,Montgomery,3121070,0,29294,19200
Alabama,AL,Montgomery,3709019,57096,22640,19811
Alabama,AL,Montgomery,7270672,8760,96944,54029
Alabama,AL,Montgomery,10571245,10928,31702,51309
Alabama,AL,Princeton,552077223,1679095,36873,39979
Alabama,AL,Montgomery,9503322,78827,54777,24162
Alabama,AL,Montgomery,72008073,5185411,300000,41886
Alabama,AL,Montgomery,5672910,169270,28065,36734
Alabama,AL,Montgomery,14911832,249584,125792,75085
Alabama,AL,Montgomery,2372259,55032,300000,46932
Alabama,AL,Pike Road,18852505,115393,99257,51364
Alabama,AL,Montgomery,5475910,15714,300000,48659
Alabama,AL,Montgomery,8442565,50415,73460,56852
Alabama,AL,Hope Hull,385289932,6304196,21249,51652
Alabama,AL,Montgomery,7325894,136874,36619,50965
Alabama,AL,Birmingham,8002141,0,23740,27884
Alabama,AL,Decatur,5708780,73903,49578,55681
Alabama,AL,Decatur,2544143,0,30715,32247
Alabama,AL,Decatur,7715233,746835,41789,38782
Alabama,AL,Decatur,8402134,742234,31079,45011
Alabama,AL,Hartselle,80519151,3723826,57511,63529
Alabama,AL,Somerville,168808472,3972677,41084,30061
Alabama,AL,Eva,247422337,923083,36191,42704
Alabama,AL,Marion,620129645,3924160,300000,32269
Alabama,AL,Gordo,286698885,289306,29581,54192
Alabama,AL,Carrollton,390834113,798185,15337,42456
Alabama,AL,Birmingham,3605024,0,23017,27647
Alabama,AL,Troy,342666857,517750,39745,48155
Alabama,AL,Troy,64845109,83964,30309,34105
Alabama,AL,Wedowee,356623311,2075543,40935,29087
Alabama,AL,Roanoke,180027927,1431375,49691,42143
Alabama,AL,Phenix City,1523115,2802,23200,19629
Alabama,AL,Phenix City,6146699,19786,34531,41869
Alabama,AL,Phenix City,62539017,381589,24661,29060
Alabama,AL,Phenix City,446860783,1401991,22642,36256
Alabama,AL,Moody,84609138,336997,300000,41817
Alabama,AL,Pell City,47375621,5690122,54496,51644
Alabama,AL,Birmingham,1778286,0,15353,26832
Alabama,AL,Ashville,206142024,6926905,44569,47377
Alabama,AL,Odenville,145753222,539155,61358,40278
Alabama,AL,Hoover,9616603,82630,52591,39421
Alabama,AL,Birmingham,28629556,3263418,123216,82192
Alabama,AL,Hoover,10958163,801615,300000,46984
Alabama,AL,Pelham,13760163,27651,300000,33919
Alabama,AL,Alabaster,5406206,59035,38790,35105
Alabama,AL,Birmingham,8431021,62231,111108,61531
Alabama,AL,Maylene,34128010,286256,61078,48922
Alabama,AL,Montevallo,27731854,230889,61618,58096
Alabama,AL,Birmingham,2232730,0,20635,24140
Alabama,AL,Alabaster,25138481,364100,300000,48137
Alabama,AL,Alabaster,109919048,2193785,110344,67381
Alabama,AL,Wilsonville,124675796,6763556,54838,56605
Alabama,AL,Panola,536090556,10788078,23681,28204
Alabama,AL,Oxford,81129130,379011,59257,51277
Alabama,AL,Talladega,110181078,13835702,48211,34985
Alabama,AL,Talladega,6640370,903,300000,18938
Alabama,AL,Childersburg,61685490,4098753,13928,18610
Alabama,AL,Sylacauga,83495162,1251432,300000,36402
Alabama,AL,Sylacauga,8089204,8552,38497,34664
Alabama,AL,Birmingham,743007,0,13490,21047
Alabama,AL,Alexander City,28825056,45488,31306,39643
Alabama,AL,Dadeville,311017327,1997552,53384,44292
Alabama,AL,Dadeville,147998867,32336900,65949,50599
Alabama,AL,Tuscaloosa,27958537,3117370,300000,64426
Alabama,AL,Northport,28237157,562524,75235,44939
Alabama,AL,Buhl,169522816,1463354,45486,32933
Alabama,AL,Tuscaloosa,11076669,1962409,107411,75182
Alabama,AL,Brookwood,410573152,10323554,43725,44263
Alabama,AL,Cottondale,255828991,1502466,51483,35724
Alabama,AL,Cottondale,5992844,16713,39959,28523
Alabama,AL,Birmingham,7956342,39652,44414,41526
Alabama,AL,Tuscaloosa,1704451,0,24484,31856
Alabama,AL,Tuscaloosa,1868964,0,25211,21071
Alabama,AL,Tuscaloosa,12325885,108719,47824,56598
Alabama,AL,Tuscaloosa,5143284,0,30584,18341
Alabama,AL,Holt,6641779,189874,36678,40719
Alabama,AL,Jasper,30020181,254512,54429,49212
Alabama,AL,Jasper,39418578,414937,35721,39976
Alabama,AL,Nauvoo,153528165,704066,21826,29990
Alabama,AL,Oakman,447906545,9543013,32579,42545
Alabama,AL,Cordova,114531672,2993518,46017,40239
Alabama,AL,Bessemer,2076635,0,24378,32636
Alabama,AL,Sipsey,94852443,1007812,31524,44482
Alabama,AL,Leroy,603093386,10961276,28999,34110
Alabama,AL,Camden,445513253,21674103,18681,35235
Alabama,AL,Pine Apple,973585771,2934323,23205,25782
Alabama,AL,Louisville,517008078,983621,27636,33907
Alabama,AL,Double Springs,471342813,13274862,36936,22304
Alabama,AL,Haleyville,184358361,787177,20436,42108
Alabama,AL,Homewood,3372196,78924,64476,66179
Alabama,AL,Leeds,12786477,133297,32289,42160
Alabama,AL,Birmingham,7511055,70529,66976,42709
Alabama,AL,Gardendale,40159982,0,53139,50071
Alabama,AL,Graysville,56885352,537614,42042,40021
Alabama,AL,Irondale,26558605,354052,44282,57897
Alabama,AL,Birmingham,12429198,42051,133231,83317
Alabama,AL,Midfield,4006150,0,27480,24560
Alabama,AL,Bessemer,34033783,463549,91182,59474
Alabama,AL,Hoover,18071006,173459,110028,67248
Alabama,AL,Brent,691793540,3983687,41379,42907
Alabama,AL,Florence,8653066,2906570,28315,38509
Alabama,AL,Florence,123190580,594938,47811,44923
Alabama,AL,Trinity,117628141,989972,34892,45383
Alabama,AL,Auburn,2907181,14935,24321,41454
Alabama,AL,Elmore,8020338,60048,61166,63335
Alabama,AL,Opelika,4310558,34936,22207,31217
Alabama,AL,Opelika,165626066,864333,39086,47067
Alabama,AL,Athens,10362596,11461,35092,34814
Alabama,AL,Hayneville,408826352,1225673,17354,27609
Alabama,AL,Tuskegee,7583956,405124,28544,32135
Alabama,AL,Huntsville,1995502,0,33121,30056
Alabama,AL,Remlap,203716769,1004680,46471,36483
Alabama,AL,Huntsville,2365766,0,25216,34869
Alabama,AL,Huntsville,2259086,0,66704,54796
Alabama,AL,Huntsville,5765482,14747,80758,59507
Alabama,AL,Huntsville,108073369,583742,69213,49812
Alabama,AL,Huntsville,12924198,54647,109549,62384
Alabama,AL,Madison,10927370,11607,93741,63278
Alabama,AL,Dixons Mills,286336268,54771,33640,40691
Alabama,AL,Winfield,154499292,310617,38275,54098
Alabama,AL,Guntersville,43587610,22086593,29075,41011
Alabama,AL,Mobile,1589550,15221,15085,19617
Alabama,AL,Georgiana,352261684,177369,42042,41432
Alabama,AL,Mobile,1043100,0,42454,48099
Alabama,AL,Mobile,5320481,984861,36369,42351
Alabama,AL,Mobile,3193386,0,20142,24349
Alabama,AL,Mobile,5552352,27672,73032,76595
Alabama,AL,Mobile,1900631,0,0,0
Alabama,AL,Mobile,7475705,83074,62620,53428
Alabama,AL,Chickasaw,981169,0,20116,21663
Alabama,AL,Semmes,25915097,46015,44787,38003
Alabama,AL,Mobile,8957994,72201,56706,61257
Alabama,AL,Mobile,17212873,25319,32163,37414
Alabama,AL,Anniston,12116269,23502,40580,59602
Alabama,AL,Prichard,1748287,0,19718,25437
Alabama,AL,Uriah,427194441,5527227,26777,40267
Alabama,AL,Montgomery,3561874,6703,14709,43204
Alabama,AL,Montgomery,3213699,0,38772,52957
Alabama,AL,Montgomery,10571245,10928,19480,39253
Alabama,AL,Montgomery,3690069,13893,34723,44631
Alabama,AL,Montgmomery,9905497,37080,24891,22041
Alabama,AL,Ramer,322817898,1399522,32820,39885
